"NewsDesk","SectionName","SubsectionName","Headline","Snippet","Abstract","WordCount","PubDate","UniqueID"
"Business","Business Day","Dealbook","Qatar Adds Longtime London Banker to Board of Canary Wharf's Owner","Ken Costa, the former chairman of Lazard International and a longtime UBS banker, will join the board of Songbird Estates, which the Qatari sovereign wealth fund is trying to acquire.","Ken Costa, the former chairman of Lazard International and a longtime UBS banker, will join the board of Songbird Estates, which the Qatari sovereign wealth fund is trying to acquire.",437,"2014-12-11 05:44:25",7402
"","U.S.","Education","Have Your Ever Taken Part in a Protest?","What were you protesting? What was the experience like?","What were you protesting? What was the experience like?",790,"2014-12-11 05:00:34",7403
"","Multimedia","","An In-Depth History of Group f.64","A new book looks at Group f.64, one of the most famous collectives in the history of photography, whose members battled the Depression while grappling with photographys evolving role in society.","A new book looks at Group f.64, one of the most famous collectives in the history of photography, whose members battled the Depression while grappling with photographys evolving role in society.",983,"2014-12-11 05:00:10",7404
"Business","Technology","","Google News to Shut Down in Spain","The decision is in response to a Spanish law that comes into force in January that would allow newspapers and other publishers to charge Google for content it uses.","The decision is in response to a Spanish law that comes into force in January that would allow newspapers and other publishers to charge Google for content it uses.",658,"2014-12-11 04:43:23",7405
"","U.S.","Education","6 Q's About the News | At Nets&rsquo; Game, a Plan for a Simple Statement Is Carried Out to a T","What elaborate plan took shape this Monday to get I Cant Breathe T-shirts to N.B.A. players?","What elaborate plan took shape this Monday to get I Cant Breathe T-shirts to N.B.A. players?",165,"2014-12-11 04:42:59",7406
"","U.S.","Education","Test Yourself | Selling the Glamour of Travel","Here are six paragraphs of an Oct. 26 article, Art That Makes You Wish You Were There. Can you choose the best word for each blank?","Here are six paragraphs of an Oct. 26 article, Art That Makes You Wish You Were There. Can you choose the best word for each blank?",44,"2014-12-11 04:34:25",7407
"Foreign","World","Asia Pacific","Chinese Coverage of C.I.A. Torture Report Says It Highlights U.S. Hypocrisy","The state-run news media weighed in with photographs and analysis, including details of extreme interrogation techniques used by the C.I.A., like waterboarding.","The state-run news media weighed in with photographs and analysis, including details of extreme interrogation techniques used by the C.I.A., like waterboarding.",574,"2014-12-11 04:32:54",7408
"","U.S.","Education","Word of the Day | rarefied","This word has appeared in 204 New York Times articles in the past year.","This word has appeared in 204 New York Times articles in the past year.",197,"2014-12-11 00:02:48",7409
"Business","Business Day","Dealbook","Ex-JPMorgan Executive to Join Circle, a Digital Currency Start-Up","Paul Camp, who led JPMorgans global transaction services business before leaving the bank in July, is joining Circle Internet Financial, a start-up that processes digital transactions.","Paul Camp, who led JPMorgans global transaction services business before leaving the bank in July, is joining Circle Internet Financial, a start-up that processes digital transactions.",430,"2014-12-11 00:01:47",7410
"Business","Crosswords/Games","","Caesar's Predecessor","A Saturday romp with James Mulhern and Ashton Anderson.","A Saturday romp with James Mulhern and Ashton Anderson.",395,"2014-12-12 22:00:24",7411
"Business","Business Day","Dealbook","Wall St. Wins a Round in a Dodd-Frank Fight","A repeal of a derivatives rule would show that, six years after the financial crisis, large banks have found a way to kill regulations that were part of the Dodd-Frank Act.","A repeal of a derivatives rule would show that, six years after the financial crisis, large banks have found a way to kill regulations that were part of the Dodd-Frank Act.",956,"2014-12-12 20:24:40",7412
"Metro","N.Y. / Region","","Winter Camp for the White-Footed Mouse","Winter hikers with sharp eyes could spot a white-footed mouse, an appealing mammal found in all five boroughs in New York City that feeds on garden pests and insects.","Winter hikers with sharp eyes could spot a white-footed mouse, an appealing mammal found in all five boroughs in New York City that feeds on garden pests and insects.",501,"2014-12-12 19:51:22",7413
"Business","Business Day","Dealbook","Juniper Said to Be in Talks With Elliott to Further Change Board","In recent weeks, Elliott had proposed a list of several candidates for the companys board in advance of the period when shareholders and others can begin nominating potential directors, according to people briefed on the matter.","In recent weeks, Elliott had proposed a list of several candidates for the companys board in advance of the period when shareholders and others can begin nominating potential directors, according to people briefed on the matter.",216,"2014-12-12 19:25:10",7414
"OpEd","Opinion","","No Surprise: Wall Street Got Its Way in Spending Bill","A provision in the bill passed by the House repeals a part of the Dodd-Frank financial reform.","A provision in the bill passed by the House repeals a part of the Dodd-Frank financial reform.",441,"2014-12-12 18:48:13",7415
"Business","Business Day","Dealbook"," With 'So Help Me God' Ethics Oath, Dutch Banks Seek Redemption ","The oath is aimed at restoring confidence in the global financial system after the recent crisis.","The oath is aimed at restoring confidence in the global financial system after the recent crisis.",1035,"2014-12-12 17:39:59",7416
"","","","What Were Reading","Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. Today, great reads from John Branch, Ravi Somaiya and others.","Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. Today, great reads from John Branch, Ravi Somaiya and others.",396,"2014-12-12 17:26:59",7417
"","","","Top Insider Stories This Week","Highlights from Times Insider during the week ending Dec. 12.","Highlights from Times Insider during the week ending Dec. 12.",222,"2014-12-12 17:05:06",7418
"","Opinion","","Joe on WNYCs Money Talking","Joe discusses Uber and Preet Bhararas Terrible, Horrible, No Good, Very Bad week.","Joe discusses Uber and Preet Bhararas Terrible, Horrible, No Good, Very Bad week.",137,"2014-12-12 16:46:33",7419
"TStyle","","","Frida Giannini's Most Memorable Moments at Gucci ","To toast her eight years at the houses helm, T looks back at 10 of her best designs, both on the runway and on the red carpet.","To toast her eight years at the houses helm, T looks back at 10 of her best designs, both on the runway and on the red carpet.",145,"2014-12-12 16:45:57",7420
"","Multimedia","","Dec. 12, 2014  Pictures of the Day","Photos from South Korea, Sri Lanka, Iraq and Zimbabwe.","Photos from South Korea, Sri Lanka, Iraq and Zimbabwe.",15,"2014-12-12 16:38:10",7421
"","","","Dingell, Longest-Serving Congressmen, Is Hospitalized","Hours after casting his final vote as a member of Congress, Representative John D. Dingell was hospitalized after taking a spill earlier in the week.","Hours after casting his final vote as a member of Congress, Representative John D. Dingell was hospitalized after taking a spill earlier in the week.",155,"2014-12-12 16:37:19",7422
"","","","Tune In to The Times","Times reporters and contributors gave television and radio interviews about top news stories.","Times reporters and contributors gave television and radio interviews about top news stories.",177,"2014-12-12 16:31:23",7423
"Styles","","","Adding Fashion Weeks to a Packed Calendar","Prefall is happening  though the when and the where are squishier than is the norm for full-fledged fashion weeks, which tend to have firm beginnings and ends.","Prefall is happening  though the when and the where are squishier than is the norm for full-fledged fashion weeks, which tend to have firm beginnings and ends.",447,"2014-12-12 16:21:29",7424
"","","","A Trippy Tribute to Dolly Parton, Soundtracked by Todd Terje","For a party tonight, the brand agency Chandelier Creative commissioned a video for a remix of Jolene, an exclusive preview of which appears here.","For a party tonight, the brand agency Chandelier Creative commissioned a video for a remix of Jolene, an exclusive preview of which appears here.",151,"2014-12-12 16:15:24",7425
"","","","On This Day: A Recount Ends","On this day in 2000, the Supreme Court ruled 5 to 4 that there would be no additional counting of presidential votes in Florida. Thirty-five days after Election Day, the decision effectively handed the presidency to George W. Bush.","On this day in 2000, the Supreme Court ruled 5 to 4 that there would be no additional counting of presidential votes in Florida. Thirty-five days after Election Day, the decision effectively handed the presidency to George W. Bush.",187,"2014-12-12 16:09:49",7426
"","Opinion","Room For Debate","Justice and Fairness in Campus Rape Cases","How can women who say they have been raped be treated supportively and sensitively while their accounts are investigated and the accused get fair treatment?","How can women who say they have been raped be treated supportively and sensitively while their accounts are investigated and the accused get fair treatment?",2809,"2014-12-12 16:06:34",7427
"","","","Pelosi Thanks Caucus for Sending a Message","Not all of Representative Nancy Pelosis Democratic colleagues joined her in voting against the $1.1 trillion spending bill, but she thanked them for fighting the good fight anyway.","Not all of Representative Nancy Pelosis Democratic colleagues joined her in voting against the $1.1 trillion spending bill, but she thanked them for fighting the good fight anyway.",234,"2014-12-12 16:00:38",7428
"","","","Readers Respond: On the Senate Torture Report","Readers reacted with outrage, insight and introspection to an editorial and Op-Eds on the Senate torture report.","Readers reacted with outrage, insight and introspection to an editorial and Op-Eds on the Senate torture report.",737,"2014-12-12 16:00:06",7429
"","Opinion","The Public Editor","Hacked Emails, 'Air--Kissing' -- and Two Firm Denials","Maureen Dowd and Bernard Weinraub say he never saw a column in advance of publication","Maureen Dowd and Bernard Weinraub say he never saw a column in advance of publication",1005,"2014-12-12 15:35:25",7430
"","","","Postalco Launches Accessories Bearing the Art of Alexander Calder","The Japanese stationers latest collection of travel wallets and notebooks debuts today in the gift shop at the newly reopened Cooper-Hewitt Smithsonian Design Museum.","The Japanese stationers latest collection of travel wallets and notebooks debuts today in the gift shop at the newly reopened Cooper-Hewitt Smithsonian Design Museum.",209,"2014-12-12 15:30:15",7431
"","","","Jeb Bush Weighs Whether a Centrist Can Win","Former Gov. Jeb Bush of Florida is getting closer to making a decision about running for president, but he wonders whether he can secure the Republican nomination without pandering to the partys conservative base.","Former Gov. Jeb Bush of Florida is getting closer to making a decision about running for president, but he wonders whether he can secure the Republican nomination without pandering to the partys conservative base.",53,"2014-12-12 15:04:21",7432
"","Business Day","Dealbook","The Gift of Inside Information","The appeals court ruling overturning the convictions of two hedge fund managers went too far in narrowing the parameters of insider trading, contends Michael Perino.","The appeals court ruling overturning the convictions of two hedge fund managers went too far in narrowing the parameters of insider trading, contends Michael Perino.",2039,"2014-12-12 14:56:24",7433
"","","","Lockkeepers House on National Mall to Be Restored","The Lockkeepers House, the oldest structure on the National Mall, will get a facelift and a new address, the Trust for the National Mall announced this week.","The Lockkeepers House, the oldest structure on the National Mall, will get a facelift and a new address, the Trust for the National Mall announced this week.",312,"2014-12-12 14:53:58",7434
"Culture","Arts","","The Best Albums of 2014","The pop critics of The New York Times discuss their lists of the Top 10 albums of the year.","The pop critics of The New York Times discuss their lists of the Top 10 albums of the year.",227,"2014-12-12 14:44:12",7435
"","Arts","","A Fresh Look at Schulz and Kirby","Two new books provide insight into lesser-known stages of Charles M. Schulz and Jack Kirbys careers.","Two new books provide insight into lesser-known stages of Charles M. Schulz and Jack Kirbys careers.",670,"2014-12-12 14:27:00",7436
"OpEd","Opinion","","Not Everyone Said &lsquo;Yes&rsquo; to Torture","An A.C.L.U. video features military personnel who objected to the Bush-era torture program.","An A.C.L.U. video features military personnel who objected to the Bush-era torture program.",75,"2014-12-12 14:04:47",7437
"","","","Avoiding Sectarian Violence to Tell a Story That Refused to Go Away","Pakistans foreign-language Oscar contender was filmed in a disputed zone between that country and India.","Pakistans foreign-language Oscar contender was filmed in a disputed zone between that country and India.",1185,"2014-12-12 14:00:54",7438
"","","","The New Japanese Masters of French Cuisine","In Paris, three young chefs from Japan, and one from France, have opened the citys most original new restaurants.","In Paris, three young chefs from Japan, and one from France, have opened the citys most original new restaurants.",849,"2014-12-12 14:00:38",7439
"","N.Y. / Region","","Free Art Is Everywhere, if You Can Find It","Free Art Friday is an art scavenger hunt open to all.","Free Art Friday is an art scavenger hunt open to all.",235,"2014-12-12 13:58:22",7440
"","Business Day","Dealbook","Citigroup Becomes the Fall Guy in the Spending Bill Battle","Citigroup is facing criticism, mostly from left-leaning groups, for its role in writing a provision in the government spending bill that would undo a major feature in the Dodd-Frank financial overhaul.","Citigroup is facing criticism, mostly from left-leaning groups, for its role in writing a provision in the government spending bill that would undo a major feature in the Dodd-Frank financial overhaul.",630,"2014-12-12 13:57:35",7441
"Business","Business Day","Dealbook","Hearst to Buy Control of Fitch, the Credit Ratings Firm ","The deal means that one of the big three ratings firms will be a majority-owned subsidiary of the privately held media giant.","The deal means that one of the big three ratings firms will be a majority-owned subsidiary of the privately held media giant.",293,"2014-12-12 13:43:22",7442
"Business","Technology","","Paris Court Gives Uber a Bit of Good News","The ruling, which applies only to Paris and relates to the budget UberPop service, allows the service to continue, though it restricts the companys advertisement to the public.","The ruling, which applies only to Paris and relates to the budget UberPop service, allows the service to continue, though it restricts the companys advertisement to the public.",809,"2014-12-12 13:36:43",7443
"","Arts","","92nd Street Y Announces Latin Jazz Festival","The first Latin on Lex festival will include Eddie Palmieri, Yosvany Terry and more.","The first Latin on Lex festival will include Eddie Palmieri, Yosvany Terry and more.",250,"2014-12-12 13:36:33",7444
"","Opinion","","Senate Committee Bothered to Authorize War Against Islamic State","The measure is an attempt to impose limits on presidential power.","The measure is an attempt to impose limits on presidential power.",550,"2014-12-12 13:26:10",7445
"","Arts","","Book Review Podcast: A Rare View of North Korea","Suki Kim talks about Without You, There Is No Us, and Meghan Daum discusses her new essay collection, The Unspeakable.","Suki Kim talks about Without You, There Is No Us, and Meghan Daum discusses her new essay collection, The Unspeakable.",145,"2014-12-12 13:24:02",7446
"Business","Business Day","Dealbook","Life Insurers Use State Laws to Avoid as Much as $100 Billion in U.S. Taxes","Companies are taking advantage of fierce competition for their business among states, which are passing laws allowing them to avoid federal taxes with complicated accounting maneuvers.","Companies are taking advantage of fierce competition for their business among states, which are passing laws allowing them to avoid federal taxes with complicated accounting maneuvers.",1596,"2014-12-12 13:13:17",7447
"Business","Business Day","Dealbook","7 Things Jessica Alba Said About Starting a Business","Jessica Alba is known for her acting career, but she is a successful entrepreneur in her own right, after helping start the Honest Company, a provider of diapers and other products.","Jessica Alba is known for her acting career, but she is a successful entrepreneur in her own right, after helping start the Honest Company, a provider of diapers and other products.",337,"2014-12-12 12:36:46",7448
"","","","Duchess Kates Visit, Julia Robertss New Gig and Leonardo DiCaprios Mob of Models","Plus, Taylor Swifts BFFs, the rise of beard baubles and more from the week in style.","Plus, Taylor Swifts BFFs, the rise of beard baubles and more from the week in style.",560,"2014-12-12 12:35:15",7449
"","Business Day","Dealbook","A Potential Staples-Office Depot Deal Not Easy to Get Past Regulators","Getting the blessing of the Federal Trade Commission, which stopped a Staples-Office Depot deal in 1997, might be tougher than expected, Quentin Webb writes in Reuters Breakingviews.","Getting the blessing of the Federal Trade Commission, which stopped a Staples-Office Depot deal in 1997, might be tougher than expected, Quentin Webb writes in Reuters Breakingviews.",385,"2014-12-12 12:26:26",7450
"","","","Verbatim: Basketball for Breakfast","President Obama spoke on ESPNs The Herd radio show.","President Obama spoke on ESPNs The Herd radio show.",42,"2014-12-12 12:20:18",7451
"","","","1964: U.S. Drops Nuclear Pact Plan","Highlights from the International Herald Tribune archives: 1964: U.S. drops nuclear pact plan within the framework of the NATO alliance.","Highlights from the International Herald Tribune archives: 1964: U.S. drops nuclear pact plan within the framework of the NATO alliance.",233,"2014-12-12 12:19:32",7452
"","Business Day","Small Business","Today in Small Business: The Future of Payments","Oil falls below $60 a barrel. Microsoft now accepts Bitcoin. And an Indianapolis gun-store owner offers tips for gun gifting this holiday season.","Oil falls below $60 a barrel. Microsoft now accepts Bitcoin. And an Indianapolis gun-store owner offers tips for gun gifting this holiday season.",447,"2014-12-12 12:15:39",7453
"","Business Day","Dealbook","New Policy Goes Only Partway in Helping Struggling Homeowners","The Federal Housing Finance Agency is allowing people who have lost their homes to buy them back at fair market value. But that doesnt help people still in their homes, Jennifer Taub writes in the Another View column.","The Federal Housing Finance Agency is allowing people who have lost their homes to buy them back at fair market value. But that doesnt help people still in their homes, Jennifer Taub writes in the Another View column.",966,"2014-12-12 12:14:51",7454
"","Multimedia","","Michel du Cille: A Photographer With Compassion and Respect","Mr. du Cille, who won three Pulitzer Prizes, portrayed his subjects with dignity. He died of a heart attack Thursday in Liberia, where he had been covering the Ebola outbreak.","Mr. du Cille, who won three Pulitzer Prizes, portrayed his subjects with dignity. He died of a heart attack Thursday in Liberia, where he had been covering the Ebola outbreak.",1049,"2014-12-12 12:13:31",7455
"","Arts","","Sinatra Exhibition Set for Performing Arts Library","Sinatra: An American Icon will open in March at the New York Public Library for the Performing Arts.","Sinatra: An American Icon will open in March at the New York Public Library for the Performing Arts.",190,"2014-12-12 12:00:48",7456
"","Arts","","Morlot to Step Down as Conductor of Thtre Royal de la Monnaie","Ludovic Morlot is the latest in a line of prominent conductors who have left their posts this year.","Ludovic Morlot is the latest in a line of prominent conductors who have left their posts this year.",211,"2014-12-12 11:58:56",7457
"","","","Reese Witherspoon on Self-Doubt and Strong Women","The actress says she wasnt sure she could pull of a role in a film that featured graphic sex and heroin use.","The actress says she wasnt sure she could pull of a role in a film that featured graphic sex and heroin use.",261,"2014-12-12 11:30:27",7458
"","","","Does the U.S. Need a New Approach to Putin?","Some think that the West is pushing too hard on Russia  and missing a complete picture of Putins motivations.","Some think that the West is pushing too hard on Russia  and missing a complete picture of Putins motivations.",1038,"2014-12-12 11:30:22",7459
"","","","Issa Issues Subpoena to Obama Health Consultant","Darrell Issa, the California Republican who is giving up the chairmanship of the House Oversight Committee is seeking testimony from Jonathan Gruber, the economist who advised the Obama administration on the Affordable Care Act.","Darrell Issa, the California Republican who is giving up the chairmanship of the House Oversight Committee is seeking testimony from Jonathan Gruber, the economist who advised the Obama administration on the Affordable Care Act.",179,"2014-12-12 11:26:44",7460
"","Business Day","Dealbook","Uber Said to Be Near Investment Deal With Baidu","After a $1.2 billion financing round just last week, the start-up is close to securing an investment worth hundreds of millions of dollars from Chinas top search engine.","After a $1.2 billion financing round just last week, the start-up is close to securing an investment worth hundreds of millions of dollars from Chinas top search engine.",319,"2014-12-12 11:19:35",7461
"","","","Insiders Say Clintons Speeches Are No Hint to Her 16 Timeline","People close to Hillary Rodham Clinton are brushing off the oft-repeated assumption in the news media that a few paid speeches she is scheduled to deliver are indications that she will wait until at least the spring to announce her presidential...","People close to Hillary Rodham Clinton are brushing off the oft-repeated assumption in the news media that a few paid speeches she is scheduled to deliver are indications that she will wait until at least the spring to announce her presidential intentions.",292,"2014-12-12 11:13:24",7462
"","Arts","","Whats On This Week Around the World","Highlights this week include Cai Guo-Qiang in Buenos Aires, Chuck Close in Sydney and a lineup of Nutcrackers to know about.","Highlights this week include Cai Guo-Qiang in Buenos Aires, Chuck Close in Sydney and a lineup of Nutcrackers to know about.",878,"2014-12-12 11:05:00",7463
"","","","Tomas Maiers Quest to Preserve Japanese Modernist Landmarks","In a video, the Bottega Veneta creative director discusses an initiative to raise awareness of the potential destruction of significant midcentury buildings.","In a video, the Bottega Veneta creative director discusses an initiative to raise awareness of the potential destruction of significant midcentury buildings.",182,"2014-12-12 11:04:35",7464
"","","","An Endorsement, of Sorts","A look at the most retweeted Oscar-related posts of the week.","A look at the most retweeted Oscar-related posts of the week.",64,"2014-12-12 11:00:11",7465
"","Arts","","Video Reviews of Inherent Vice, Exodus: Gods and Kings and Top Five","Times critics review Inherent Vice, Exodus: Gods and Kings and Top Five.","Times critics review Inherent Vice, Exodus: Gods and Kings and Top Five.",25,"2014-12-12 10:54:00",7466
"","","","Ocean Study Gives Reporter the Creeps","John Schwartz, a science reporter, writes about what surprised him the most while he reported on a study of the amount of plastic in our oceans.","John Schwartz, a science reporter, writes about what surprised him the most while he reported on a study of the amount of plastic in our oceans.",235,"2014-12-12 10:46:39",7467
"Science","Health","","Weight Gain Carries Risks, No Matter Your Weight","Even in young adults of normal weight, increases in body mass index also lead to increased risk of heart disease and other problems.","Even in young adults of normal weight, increases in body mass index also lead to increased risk of heart disease and other problems.",258,"2014-12-12 10:45:39",7468
"","Travel","","Surf City, Chicago","Chicago Surf, a pool that simulates ocean waves, is expected to open on the citys beachfront next spring.","Chicago Surf, a pool that simulates ocean waves, is expected to open on the citys beachfront next spring.",248,"2014-12-12 10:31:14",7469
"OpEd","Opinion","","Cuban Scholars in U.S. Can't Get Bank Accounts","Confusing sanctions make life here difficult for authorized visitors.","Confusing sanctions make life here difficult for authorized visitors.",444,"2014-12-12 10:28:02",7470
"Styles","U.S.","","The Unmonitored Baby Is Not Worth Having","Reams of data, straight to your smartphone. Imagine being certain your baby needs a diaper change, and determining with 97 percent accuracy if your baby is crying!","Reams of data, straight to your smartphone. Imagine being certain your baby needs a diaper change, and determining with 97 percent accuracy if your baby is crying!",432,"2014-12-12 10:15:33",7471
"","","","Selma, History and Protests Today","The Selma director says viewers have turned to her for answers about the Michael Brown and Eric Garner cases.","The Selma director says viewers have turned to her for answers about the Michael Brown and Eric Garner cases.",501,"2014-12-12 10:00:55",7472
"","Opinion","","Friday Night Music: Peter Gabriel, 1993","Uplift never gets old.","Uplift never gets old.",26,"2014-12-12 09:45:52",7473
"Science","Health","","U.S. Health Care Lags Worldwide for Those Over 65","The United States still has mortifying lapses and problems, despite spending more on health care than any country in the world, a new Commonwealth Fund report reveals.","The United States still has mortifying lapses and problems, despite spending more on health care than any country in the world, a new Commonwealth Fund report reveals.",923,"2014-12-12 09:41:22",7474
"Science","Health","","P&acirc;t&eacute; From the Sea","Think Christmas and New Years parties; these make great, healthy hors doeuvres.","Think Christmas and New Years parties; these make great, healthy hors doeuvres.",448,"2014-12-12 09:39:40",7475
"","U.S.","","Your Turn: A Weekend Thread, Open for Comments","Welcome to Motherlodes weekly open thread. Do you have thoughts about the news this week, and how it affects families? A question to ask? A rant to share? This is your place. Go.","Welcome to Motherlodes weekly open thread. Do you have thoughts about the news this week, and how it affects families? A question to ask? A rant to share? This is your place. Go.",62,"2014-12-12 09:01:33",7476
"TStyle","","","The Daily Gift: Blocks for Little Lumberjacks","Each day until Christmas, the editors of T share a new holiday gift idea.","Each day until Christmas, the editors of T share a new holiday gift idea.",69,"2014-12-12 09:00:47",7477
"","N.Y. / Region","","An Emergency Announcement on the Bus","Metropolitan Diary: A passenger expected the worst when a search alert was radioed to the bus driver.","Metropolitan Diary: A passenger expected the worst when a search alert was radioed to the bus driver.",78,"2014-12-12 08:58:49",7478
"","","","Daily Clip Report","Good morning. Here is Daily Clip Report, a collection of articles about The Times and the media sent by email each morning to senior executives and newsroom editors. The email is produced by the Corporate Communications Department at The Times.","Good morning. Here is Daily Clip Report, a collection of articles about The Times and the media sent by email each morning to senior executives and newsroom editors. The email is produced by the Corporate Communications Department at The Times.",180,"2014-12-12 08:26:56",7479
"","","","Let the Gucci Speculation Begin","The departure of Patrizio di Marco, Guccis chief executive, and Frida Giannini, its creative director, will no doubt ignite a guessing game over what happened and who will replace Ms. Giannini.","The departure of Patrizio di Marco, Guccis chief executive, and Frida Giannini, its creative director, will no doubt ignite a guessing game over what happened and who will replace Ms. Giannini.",829,"2014-12-12 08:23:49",7480
"","","","Brains and Heart","Benedict Cumberbatch and Eddie Redmayne discuss their characters in Oscar contenders this year.","Benedict Cumberbatch and Eddie Redmayne discuss their characters in Oscar contenders this year.",127,"2014-12-12 08:00:51",7481
"","Business Day","Dealbook","Private Equity Firm Permira Further Reduces Stake in Hugo Boss","Permira, which acquired the German fashion brand in 2007, planned to sell 4.9 million shares in a private placement, representing a 7 percent stake. It will be left with a 32 percent stake.","Permira, which acquired the German fashion brand in 2007, planned to sell 4.9 million shares in a private placement, representing a 7 percent stake. It will be left with a 32 percent stake.",233,"2014-12-12 07:31:38",7482
"","","","Today in Politics","The near-death experience of a bipartisan, governmentwide funding bill on Thursday highlighted a fundamental problem with Congress at the moment: the lost art of compromise.","The near-death experience of a bipartisan, governmentwide funding bill on Thursday highlighted a fundamental problem with Congress at the moment: the lost art of compromise.",1505,"2014-12-12 07:13:51",7483
"","U.S.","Education","NYTLNreads | 'Tootsie Pops and The Times': Teaching With Crosswords","Every week, a seventh-grade class in Princeton, N.J., works together to solve the New York Times Monday crossword puzzle.","Every week, a seventh-grade class in Princeton, N.J., works together to solve the New York Times Monday crossword puzzle.",514,"2014-12-12 07:07:02",7484
"","Business Day","Small Business","How We Use Hackathons to Generate Big Ideas","At RJMetrics, we decided to dedicate a 24-hour period every quarter to working on experimental projects. The new ideas that resulted have reshaped our product plans, our market strategy, and our sense of what is possible.","At RJMetrics, we decided to dedicate a 24-hour period every quarter to working on experimental projects. The new ideas that resulted have reshaped our product plans, our market strategy, and our sense of what is possible.",1087,"2014-12-12 07:00:46",7485
"","","","1939: Ginsberg Name Change Denied","Highlights from the International Herald Tribune archives: 1939: Abraham Gerald Ginsberg denied the right to change his name to Kingsley.","Highlights from the International Herald Tribune archives: 1939: Abraham Gerald Ginsberg denied the right to change his name to Kingsley.",136,"2014-12-12 06:55:08",7486
"","N.Y. / Region","","New York Today: The Push for Gay Rights","Friday and the weekend: a struggle for L.G.B.T. protections, more chilly weather, protests on Saturday, and the week in pictures.","Friday and the weekend: a struggle for L.G.B.T. protections, more chilly weather, protests on Saturday, and the week in pictures.",1141,"2014-12-12 05:58:12",7487
"","World","Asia Pacific","Hong Kong Protest Camp That Whispered Melting Back Into City","The street camp nestled on a street in the Causeway Bay area is the Liechtenstein of Hong Kongs pro-democracy movement; a place so tiny and placid that, like an obscure Alpine principality, knowledge of its very existence seems an insiders...","The street camp nestled on a street in the Causeway Bay area is the Liechtenstein of Hong Kongs pro-democracy movement; a place so tiny and placid that, like an obscure Alpine principality, knowledge of its very existence seems an insiders secret.",510,"2014-12-12 05:47:26",7488
"","U.S.","Education","Is It Possible to Start Out Poor in This Country, Work Hard and Become Well-Off?","Do you believe that the United States is the land of opportunity? Do you think the American dream, however you define it, is alive and well?","Do you believe that the United States is the land of opportunity? Do you think the American dream, however you define it, is alive and well?",475,"2014-12-12 05:00:31",7489
"","Multimedia","","Making Metaphors From Photos","Inspired by his poetic writings, Nathan Lyons combines two images that take on a third, metaphorical, meaning.","Inspired by his poetic writings, Nathan Lyons combines two images that take on a third, metaphorical, meaning.",943,"2014-12-12 05:00:30",7490
"","U.S.","Education","6 Qs About the News | The Lives of Millennial Career Jugglers","Why are some millennials electing to spread themselves thin professionally?","Why are some millennials electing to spread themselves thin professionally?",137,"2014-12-12 04:34:27",7491
"","U.S.","Education","Test Yourself | Keeping Up With the Joneses, Berkeley-Style","Here are several paragraphs of an Dec. 5 article, A Step-by-Step Guide to Berkeleys Many Quirks. Can you choose the best word for each blank?","Here are several paragraphs of an Dec. 5 article, A Step-by-Step Guide to Berkeleys Many Quirks. Can you choose the best word for each blank?",40,"2014-12-12 04:31:28",7492
"","U.S.","Education","Word of the Day | ethereal","This word has appeared in 213 New York Times articles in the past year.","This word has appeared in 213 New York Times articles in the past year.",232,"2014-12-12 00:02:05",7493
"","","","What We're Watching: Sunday Shows","The Senate Intelligence Committees blistering report on the C.I.A. interrogation program will dominate the conversation on the Sunday shows.","The Senate Intelligence Committees blistering report on the C.I.A. interrogation program will dominate the conversation on the Sunday shows.",240,"2014-12-13 20:51:26",7494
"OpEd","Opinion","","The Wrong Dog","We let ourselves believe that beneath our rescued puppys strange, erratic behavior was a good, loving pet.","We let ourselves believe that beneath our rescued puppys strange, erratic behavior was a good, loving pet.",1586,"2014-12-13 18:45:39",7495
"","Crosswords/Games","","Well, Golly!","Golly, its Jim Peredo.","Golly, its Jim Peredo.",1005,"2014-12-13 18:00:57",7496
"","","","Wall St. Had Invested Heavily in Dodd-Frank Changes ","An analysis shows that House Democrats who voted in favor of a bill that will roll back a key provision of the Dodd-Frank law on average received nearly four times as much money from large financial institutions as others who voted no.","An analysis shows that House Democrats who voted in favor of a bill that will roll back a key provision of the Dodd-Frank law on average received nearly four times as much money from large financial institutions as others who voted no.",424,"2014-12-13 13:05:07",7497
"Business","Technology","","Trying to Swim in a Sea of Social Media Invective","Social media companies are often reluctant to become arbiters of appropriate and inappropriate speech online.","Social media companies are often reluctant to become arbiters of appropriate and inappropriate speech online.",1259,"2014-12-13 12:37:26",7498
"","Crosswords/Games","","Variety: A Messy Acrostic","A very messy acrostic by Emily Cox and Henry Rathvon.","A very messy acrostic by Emily Cox and Henry Rathvon.",228,"2014-12-13 12:00:52",7499
"Business","Business Day","Dealbook","Small Bank in Kansas Is a Financial Testing Ground","The owners of CBW in Weir, Kan., want to find solutions to problems  like obstacles to quick money transfers  that vex consumers nationwide.","The owners of CBW in Weir, Kan., want to find solutions to problems  like obstacles to quick money transfers  that vex consumers nationwide.",2894,"2014-12-13 11:33:23",7500
"","Travel","","With Hotel Holiday Events, Hope and Charity","This year, hotel holiday packages come with a dash of charity.","This year, hotel holiday packages come with a dash of charity.",344,"2014-12-13 11:17:19",7501
